domain,visits,pageviews,users,pageviews_per_session,avg_session_duration,exits
certify.sba.gov,6095,52565,6095,8.624282199,760.3178015,4571
mt.usembassy.gov,3047,10665,1524,3.500164096,754.8171972,3047
portale.eoir.justice.gov,9904,113511,1524,11.46112682,754.6641761,12189
atmcorr.gsfc.nasa.gov,1524,16760,762,10.99737533,750.32021,1524
training.smartpay.gsa.gov,21331,422047,15236,19.78561718,737.6035816,21331
marstrek.jpl.nasa.gov,2285,6095,3047,2.667396061,737.4796499,3047
streamstatsags.cr.usgs.gov,2285,55613,4571,24.33829322,728.1444201,3047
acpt.nsf.gov,1524,8380,762,5.498687664,710.3300525,1524
edpubs.gov,1524,14475,1524,9.498031496,707.3307087,1524
nasai.usajobs.gov,3047,49518,3047,16.25139481,706.8129308,3047
dieteticinternship.va.gov,9904,83038,3809,8.384289176,695.8201737,9904
ssainewyork.usajobs.gov,1524,6856,3047,4.498687664,695.3333333,2285
meps.ahrq.gov,13713,105131,5333,7.66652082,691.0414205,14475
ukrainian.ukraine.usembassy.gov,6095,25902,3809,4.249712879,683.323708,6095
nih.usajobs.gov,1524,12951,1524,8.498031496,676.8379265,0
psob.gov,5333,28949,3809,5.428276767,673.679355,5333
batteryworkshop.msfc.nasa.gov,2285,19045,762,8.334792123,668.1326039,2285
cd.usembassy.gov,22093,95989,9904,4.344769837,651.3019056,21331
vehiclestd.fas.gsa.gov,21331,162267,4571,7.607097651,648.5325582,20569
onboarding.usastaffing.gov,64755,972079,23616,15.01164389,644.218624,64755
teas.uspto.gov,211024,2428675,41900,11.50899898,643.0598842,156934
gsaxcess.gov,32758,882947,9142,26.95362965,640.0729288,32758
selectionmanager.usastaffing.gov,102845,972079,25140,9.451883903,633.5357577,102845
nslds.ed.gov,2285,10665,2285,4.667396061,632.4586433,2285
oceandata.sci.gsfc.nasa.gov,3809,54851,1524,14.40036755,630.614597,3809
ncnr.nist.gov,6856,22855,5333,3.333576429,627.6995333,6095
sr.usembassy.gov,1524,15998,1524,10.49737533,617.3523622,2285
travelregistration.state.gov,1524,6856,762,4.498687664,616.3523622,1524
ecos.fws.gov,20569,174456,11427,8.481501288,611.8541981,19807
online.wr.usgs.gov,2285,3809,2285,1.666958425,608.1207877,1524
smclinician.myhealth.va.gov,444140,5981793,60945,13.46826001,602.7183411,443378
nbib.opm.gov,8380,41900,7618,5,598.8177804,5333
teamsite02.nlm.nih.gov,2285,3809,762,1.666958425,597.4516411,762
ruc.noaa.gov,6856,44947,3047,6.555863477,591.9199242,6856
gsafsd.service-now.com,41138,444902,13713,10.81486703,584.5948272,41138
spanish.nicaragua.usembassy.gov,2285,3047,2285,1.333479212,583.4490153,2285
mafspace.msfc.nasa.gov,1524,4571,1524,2.999343832,579.3615486,1524
heliophysicsdata.sci.gsfc.nasa.gov,2285,6856,762,3.000437637,578.7816193,2285
sam.gov,1552585,30157317,456329,19.42393943,577.847229,1550299
fees.uspto.gov,177504,1081019,63993,6.090110645,568.5392724,236163
spc.ncep.noaa.gov,9904,51042,4571,5.153675283,565.5173667,9142
datawarehouse.hrsa.gov,62469,890565,36567,14.25611103,559.9151259,61707
specsintact.ksc.nasa.gov,3047,388527,2285,127.5113226,558.7998031,3047
qa-dataguide.nlm.nih.gov,1524,22093,762,14.49671916,556.3667979,1524
ntp.niehs.nih.gov,31235,195787,11427,6.268192733,551.7721466,31235
registration.jpl.nasa.gov,4571,7618,3809,1.666593743,550.1553271,2285
gsaadvantage.gov,323773,3428180,123414,10.58822076,547.5145117,322249
gsaglobalsupply.gsa.gov,4571,52565,9142,11.49967184,546.9888427,6856
rotorcraft.arc.nasa.gov,38091,96751,2285,2.539996325,544.2183718,37329
technology-jsc.ndc.nasa.gov,1524,11427,1524,7.498031496,543.8700787,1524
dataqs.fmcsa.dot.gov,32758,317678,12951,9.697722694,538.0724403,31235
vip.vetbiz.gov,19045,111225,3047,5.840115516,536.5724862,19045
m.stopfraud.gov,2285,21331,2285,9.335229759,507.4341357,2285
hru.gov,51804,337485,38091,6.514651378,505.9079222,51804
dawn.jpl.nasa.gov,10665,57136,14475,5.357337084,504.8069386,12189
pptform.state.gov,2123186,20590410,1474117,9.697883275,504.3541503,1868739
gsi.nist.gov,3047,11427,1524,3.750246144,502.0446341,3047
wcms.epa.gov,8380,83038,3047,9.909069212,501.6360382,10665
gsaauctions.gov,473089,12672076,217118,26.78581831,494.9128473,472327
peoplesgarden.usda.gov,2285,15236,2285,6.667833698,493.4310722,762
fleta.gov,6856,40376,6095,5.889148191,492.470245,6856
unlocktalent.gov,2285,22855,2285,10.00218818,492.4310722,2285
volunteer.gov,43424,265874,26664,6.122743183,487.1535326,43424
lilongwe.usembassy.gov,2285,3809,1524,1.666958425,487.0967177,2285
esrs.gov,7618,54089,6095,7.100157522,483.111184,7618
pmm.pps.eosdis.nasa.gov,9142,27425,7618,2.999890615,481.8234522,8380
carbonfootprint.gsa.gov,36567,265113,31996,7.250061531,477.1699346,35805
nec-fb.belvoir.army.mil,1524,2285,762,1.499343832,474.3864829,1524
unicor.gov,10665,70849,6856,6.643131739,468.3768401,10665
nccdb.fmcsa.dot.gov,5333,27425,4571,5.142508907,465.1188824,8380
technology.nasa.gov,11427,122653,9142,10.73361337,462.8774832,11427
ameddregiment.amedd.army.mil,2285,6856,2285,3.000437637,462.4249453,1524
nsopw.gov,683351,5619929,338247,8.224073719,460.644038,676494
mrmc.amedd.army.mil,71611,151602,5333,2.117021128,459.4991412,70849
fss.va.gov,8380,14475,6095,1.727326969,458.0906921,9142
ssaiboston.usajobs.gov,1524,3809,1524,2.499343832,457.8904199,1524
econsumer.gov,13713,66278,11427,4.833223948,454.8240356,13713
usaspending.gov,143984,976650,24378,6.783045338,454.5065216,143984
chemdata.nist.gov,4571,13713,3809,3,454.157296,5333
professionalstandards.fns.usda.gov,3047,58660,4571,19.25172301,454.0403676,4571
madis.ncep.noaa.gov,1524,12189,1524,7.998031496,453.3917323,762
step.state.gov,182074,1362130,158458,7.481188967,450.8379066,169124
help.usajobs.gov,3809,3809,3809,1,444.4103439,762
sm.myhealth.va.gov,607169,4134385,420523,6.809282094,443.8668064,406811
irma.nps.gov,31996,104369,12951,3.261938992,443.6476435,30473
appel.nasa.gov,4571,15236,3809,3.333187486,442.8243273,5333
beaconregistration.noaa.gov,12951,73896,9904,5.705814223,441.702494,12951
idcfoes.bls.gov,27425,345865,13713,12.61130356,435.8680766,29711
spinoff.nasa.gov,9904,25140,9142,2.538368336,434.1376212,9904
informal.jpl.nasa.gov,3809,32758,3047,8.600157522,430.8099239,3809
fbo.gov,1551823,11220813,544700,7.230729922,430.5806796,1548775
ntl.bts.gov,2285,3809,2285,1.666958425,428.0849015,2285
inside.fsis.usda.gov,6095,20569,4571,3.374733388,427.2178835,5333
researchmatters.blogs.census.gov,2285,2285,2285,1,426.4179431,1524
ngs.noaa.gov,41900,153887,31235,3.672720764,425.1452029,41900
nspires.nasaprs.com,62469,795338,25140,12.73172293,425.0735405,62469
locator.ice.gov,160744,1334705,71611,8.303295924,423.9987931,159982
docsteach.org,33520,265874,26664,7.931801909,423.9542959,33520
romania.usembassy.gov,9142,27425,7618,2.999890615,423.4913586,9904
usarc.usgs.gov,1524,3809,762,2.499343832,423.3989501,1524
littlerock.jobcorps.gov,1524,3809,762,2.499343832,422.3989501,1524
stereo-ssc.nascom.nasa.gov,3047,31996,3047,10.50082048,422.0374138,2285
cfda.gov,64755,319963,37329,4.941131959,419.8203382,64755
treasury.usajobs.gov,12951,71611,14475,5.529379971,416.4674543,12189
spanish.caracas.usembassy.gov,2285,11427,3047,5.000875274,415.4157549,3047
caribbean.va.gov,4571,8380,5333,1.833296872,412.991468,5333
gsaelibrary.gsa.gov,108940,865425,46471,7.944051772,410.4193409,115034
intern.nasa.gov,160744,1263094,70849,7.857798736,408.832958,168362
72a.gsa.gov,15998,106654,9142,6.666708339,408.7662833,15236
omniweb.gsfc.nasa.gov,8380,25902,2285,3.090930788,408.0906921,7618
ozoneaq.gsfc.nasa.gov,1524,1524,1524,1,405.4028871,762
sewp.nasa.gov,96751,394622,12951,4.078738204,404.5741853,95989
arc.publicdebt.treas.gov,22093,95227,9142,4.310279274,401.7534061,21331
astronomy101.jpl.nasa.gov,2285,9904,3047,4.334354486,401.4131291,3809
my.uscis.gov,942369,10735536,629261,11.39207253,400.4452354,949987
dataferrett.census.gov,14475,58660,12189,4.052504318,399.1451468,13713
stlouis.jobcorps.gov,1524,2285,1524,1.499343832,398.9048556,1524
tomah.va.gov,4571,11427,4571,2.499890615,397.9919055,4571
gulfspillrestoration.noaa.gov,3809,9142,3047,2.400105014,397.8091363,3809
t.cdc.gov,3047,9142,4571,3.000328192,397.7853627,3047
hq.nasa.gov,90656,273493,60184,3.016821832,395.7492499,88371
phytochem.nal.usda.gov,4571,19807,4571,4.333187486,394.4920149,4571
albany.va.gov,4571,17522,4571,3.833296872,393.1586086,3809
alaskafisheries.noaa.gov,15998,57898,6095,3.619077385,391.5756345,17522
airforce.usajobs.gov,9904,41138,9904,4.153675283,390.9085218,11427
innovation.ed.gov,16760,70087,10665,4.181801909,387.5452267,18284
preview.dhs.gov,1524,6856,2285,4.498687664,387.4074803,2285
orlando.va.gov,19045,51804,15998,2.720084012,386.2089787,21331
edgarfiling.sec.gov,25902,215594,5333,8.323449927,385.7323759,25902
bphc.hrsa.gov,28949,271969,25140,9.394763204,385.316764,54851
google2.fda.gov,57136,1596770,338247,27.94682862,384.7755531,196549
web.sba.gov,14475,83038,12951,5.736649396,382.1982729,19045
topeka.va.gov,3047,6095,3047,2.000328192,381.2838858,3047
eauth.va.gov,1438312,27294406,853236,18.97669351,380.7732738,1787224
petitions.obamawhitehouse.archives.gov,8380,28187,8380,3.363603819,378.6361575,8380
usda.gov,1325563,2552851,402240,1.92586169,377.4878901,1218908
govsales.gov,16760,168362,15236,10.04546539,373.772494,15998
wwwn.cdc.gov,92180,642212,69325,6.966934259,373.5121718,96751
iqrs.npdb.hrsa.gov,82276,323011,30473,3.925944382,372.0662405,143222
healthit.ahrq.gov,22093,131794,15998,5.965418911,371.0296927,21331
annarbor.va.gov,6095,17522,6856,2.874815422,370.5972108,6095
ng.usembassy.gov,31235,87609,23616,2.80483432,369.4578198,28949
alexandria.va.gov,1524,9142,1524,5.998687664,369.4114173,1524
indexcat.nlm.nih.gov,3047,29711,762,9.750902527,369.2829012,2285
ssaikansascity.usajobs.gov,28187,112749,3809,4.000035477,368.2195693,28187
cfpub1.epa.gov,1524,21331,762,13.99671916,366.9120735,1524
epss.ahrq.gov,15236,76182,10665,5.000131268,366.3585587,15236
ceb.nlm.nih.gov,3809,5333,3809,1.400105014,365.6085587,3809
eweb1.sba.gov,2285,6856,1524,3.000437637,365.0722101,1524
cleveland.va.gov,14475,29711,14475,2.052573402,364.9356822,15236
wa.water.usgs.gov,1524,9142,2285,5.998687664,364.4127297,1524
eros.usgs.gov,7618,16760,7618,2.200052507,363.8084799,7618
usbr.gov,399954,872281,153887,2.18095331,362.8688524,402240
alumni.state.gov,56375,294062,41138,5.216177384,362.5779512,57136
monitor.noaa.gov,6095,17522,3809,2.874815422,361.0977851,6095
sk.usembassy.gov,11427,46471,6856,4.066771681,360.941717,11427
www7.ncdc.noaa.gov,4571,89133,10665,19.49967184,360.8258587,9142
accessdata.fda.gov,752676,6992725,543176,9.290484883,359.0009752,895898
search.consumerfinance.gov,35044,207214,19045,5.912966556,358.7569341,8380
ndb.nal.usda.gov,188169,1193007,130271,6.340082585,357.510084,192740
intra.mp.usbr.gov,29711,46471,1524,1.564100838,357.4858807,28949
parkinsons.va.gov,6856,19045,5333,2.77785881,356.2409568,5333
spotthestation.nasa.gov,882947,2364682,495182,2.678169811,353.8489094,889803
newengland.water.usgs.gov,15998,23616,1524,1.476184523,353.6228279,15998
tsdr.uspto.gov,348913,920276,133318,2.637551481,352.7069413,387003
manufacturing.gov,5333,14475,5333,2.71423214,351.1246953,5333
dsbs.sba.gov,39615,271969,19045,6.865303547,350.726543,43424
wdr.doleta.gov,59422,111225,30473,1.871781495,349.2423177,55613
www2.census.gov,28187,156934,31235,5.567602086,349.057225,29711
neo.sci.gsfc.nasa.gov,11427,30473,8380,2.666754179,346.8747703,11427
dublin.va.gov,3809,12951,6856,3.400105014,346.2079286,6095
abmc.gov,50280,330629,39615,6.575755768,342.6513126,50280
sigtarp.gov,3809,10665,3809,2.799947493,341.0078761,3809
str.fas.gsa.gov,3047,38853,1524,12.75123072,340.5303577,4571
playbook.cio.gov,5333,9904,5333,1.85711607,339.5539096,5333
keplerscience.arc.nasa.gov,3809,7618,3047,2,337.8078236,3047
disposal.gsa.gov,6856,16760,6856,2.444574096,336.6843641,6095
ebuy.gsa.gov,176742,1214337,29711,6.8706759,334.9692886,177504
hero.epa.gov,3809,7618,5333,2,334.2076661,3809
toxtown.nlm.nih.gov,36567,79991,33520,2.187518801,333.8148057,36567
dhc-europe.amedd.army.mil,1524,2285,1524,1.499343832,332.9206037,1524
arlweb.msha.gov,88371,1088638,53327,12.31895079,332.2408369,89894
e-cigarettes.surgeongeneral.gov,2285,3809,1524,1.666958425,331.3991247,2285
cms.nps.gov,1524,22855,762,14.99671916,328.9212598,1524
outreach.usda.gov,9904,54851,12189,5.538267367,328.2184976,12189
nl.usembassy.gov,21331,66278,15998,3.107121091,327.2484178,19807
minerals.usgs.gov,44185,150840,31996,3.413828222,326.0721286,44185
usace.usajobs.gov,4571,19807,2285,4.333187486,324.9934369,5333
directorsblog.blogs.census.gov,3047,4571,2285,1.500164096,324.2789629,2285
scienceandtechnology.jpl.nasa.gov,7618,15236,6856,2,323.7075348,6856
epa.usajobs.gov,12189,46471,9142,3.812535893,323.1272459,11427
npdb.hrsa.gov,103607,172933,42662,1.669124673,320.8536006,42662
g5.gov,52565,160744,20569,3.058004376,319.9446019,52565
cg.usembassy.gov,2285,7618,2285,3.333916849,318.3964989,2285
admongo.gov,6856,12189,4571,1.77785881,318.1277713,6856
td.usembassy.gov,6095,22855,5333,3.749794914,317.8510254,6095
pdhealth.mil,5333,6095,4571,1.14288393,317.1263829,5333
echo.epa.gov,19807,118082,16760,5.961629727,316.5426364,24378
studentloans.gov,3222489,10155030,2027197,3.151300129,316.4286066,3217156
urs.earthdata.nasa.gov,48756,212547,23616,4.35940192,315.7052876,45709
csa.fmcsa.dot.gov,54089,381671,35044,7.056351569,315.0848601,47995
choosemyplate.gov,933989,3444178,688683,3.687600175,314.1417704,927894
glovis.usgs.gov,53327,126462,27425,2.371444109,313.1442796,54089
chpl.healthit.gov,19045,27425,12189,1.440010501,312.4072985,19045
cumulis.epa.gov,28949,190454,34282,6.578949187,311.7376421,34282
airconsumer.dot.gov,13713,29711,6856,2.166630205,311.326989,13713
lovell.fhcc.va.gov,31996,51042,19807,1.595261908,309.717621,31996
deepspace.jpl.nasa.gov,3809,6095,3809,1.600157522,308.207141,3047
pubs.giss.nasa.gov,7618,10665,6856,1.399973746,307.6071147,7618
myhealth.va.gov,3456367,23994973,1324801,6.94225266,307.571308,3656725
ehr.nbc.gov,7618,71611,5333,9.400236282,307.5072197,7618
zm.usembassy.gov,15236,38091,7618,2.500065634,306.5071541,14475
modis.gsfc.nasa.gov,10665,43424,11427,4.071636193,306.1557431,10665
fpds.gov,73896,366434,42662,4.958779907,304.3312223,73896
edison.jobcorps.gov,3047,3809,1524,1.250082048,304.0269117,1524
wicworks.fns.usda.gov,17522,124176,11427,7.08686223,303.9966899,18284
help.consumerfinance.gov,68564,180551,45709,2.633320693,303.5648737,63993
solarsystem.nasa.gov,564507,2289262,465471,4.055329695,303.3427486,573649
seafoodinspection.nmfs.noaa.gov,3047,33520,3047,11.00098457,303.0269117,3047
dot.usajobs.gov,8380,52565,7618,6.272673031,300.9998807,9142
biloxi.va.gov,12951,38853,8380,3,300.7624122,12189
mrlc.gov,2285,6095,1524,2.667396061,299.3925602,2285
beta.bls.gov,9904,56375,12189,5.692144588,299.3734855,11427
bf.usembassy.gov,3809,6856,3047,1.799947493,297.406931,3809
diversity.defense.gov,5333,22093,3047,4.142696419,295.8419276,4571
fedramp.gov,21331,38853,13713,1.821433594,295.3557264,20569
sec.gov,1479450,12592847,817430,8.511843591,294.9783805,1496210
asean.usmission.gov,15998,29711,11427,1.857169646,294.2412802,15998
ai.fmcsa.dot.gov,248353,1256999,111987,5.061340109,291.9074825,259780
eca.state.gov,57898,221689,57898,3.828957822,291.7902173,55613
history.amedd.army.mil,19045,69325,19045,3.640063009,291.6467839,19807
ar.usembassy.gov,287205,902754,159982,3.14323915,291.5281419,265113
catalog.usmint.gov,940845,5695349,539367,6.053440258,291.2720342,942369
faai.usajobs.gov,23616,147031,3809,6.225906165,290.8107639,23616
eddmr-cat.usps.com,9142,40376,5333,4.416539051,289.4940932,9904
complaints.donotcall.gov,303965,1703424,243782,5.60401362,289.0178047,303203
ntis.gov,4571,10665,4571,2.333187486,288.8273901,4571
pe.usembassy.gov,66278,176742,51042,2.666676725,288.5523401,64755
gsa.usajobs.gov,1524,6095,1524,3.999343832,287.9311024,1524
gmao.gsfc.nasa.gov,3809,9904,3047,2.600157522,287.8067734,3047
br.usembassy.gov,268922,1020836,170647,3.796030076,287.2659247,265113
search.aids.gov,3809,7618,3047,2,286.8067734,3809
nrcs.usda.gov,694016,1819221,279587,2.621295474,286.3742954,739725
blogs.fda.gov,11427,31235,22093,2.733438348,284.6733176,13713
sscweb.gsfc.nasa.gov,4571,40376,1524,8.833078101,284.1607963,4571
fedshirevets.gov,1524,25140,1524,16.49606299,282.4324147,1524
www-red-dev.cancer.gov,4571,25140,762,5.499890615,280.994312,4571
preview.portal.irs.gov,4571,6095,762,1.333406257,280.6609057,3809
sanfrancisco.va.gov,13713,39615,9142,2.888864581,279.8276088,15998
fr.usembassy.gov,105893,287967,69325,2.719414881,279.5530772,98274
nauticalcharts.noaa.gov,51042,323773,41138,6.34326633,278.6257004,50280
wallawalla.va.gov,5333,11427,1524,2.142696419,278.2713295,4571
missionscience.nasa.gov,62469,140936,46471,2.256095023,278.0856105,61707
oig.state.gov,15998,48756,7618,3.047630954,278.0030004,15998
lpdaac.usgs.gov,1524,3809,1524,2.499343832,277.933727,1524
ftccomplaintassistant.gov,156173,1060450,104369,6.790226223,276.6286234,156173
gibill.custhelp.com,81514,339009,58660,4.158905219,275.4222465,81514
tadd.weather.gov,2285,3809,2285,1.666958425,275.3877462,2285
apps.irs.gov,3566831,25470614,2538377,7.140964627,275.0845507,3321525
history.msfc.nasa.gov,4571,20569,5333,4.499890615,273.4944214,4571
elvprogram.ndc.nasa.gov,3809,4571,2285,1.200052507,273.4064059,3809
my.usajobs.gov,920276,4638708,669638,5.040561745,272.4229612,1223479
bia.gov,54089,176742,42662,3.267614487,270.8735418,54089
research.va.gov,41138,143984,28949,3.500024308,269.9269532,39615
search.ada.gov,9142,22093,8380,2.416648436,269.9111792,0
hcup-us.ahrq.gov,31235,68564,16760,2.195101649,269.7764047,30473
minorityhealth.hhs.gov,25140,52565,19045,2.09089101,269.1816627,25140
dm.usda.gov,9142,35805,5333,3.916539051,267.9945307,9142
treasurydirect.gov,1151107,4166381,834952,3.61945588,265.1216803,1151107
mrdata.usgs.gov,32758,181313,27425,5.534922767,262.5594359,32758
ss.usembassy.gov,3047,6856,2285,2.250082048,262.5234657,2285
effectiveinterventions.cdc.gov,3809,33520,3047,8.800210029,262.2060908,3809
sapr.mil,6095,11427,5333,1.874815422,261.1053322,6095
lance.modaps.eosdis.nasa.gov,22855,127224,15236,5.566571866,261.0280026,25140
jru.usconsulate.gov,29711,73896,22093,2.487159638,259.3324021,28949
lr.usembassy.gov,5333,14475,1524,2.71423214,258.4151509,6095
data.nal.usda.gov,2285,23616,2285,10.33522976,258.3846827,2285
foreignlaborcert.doleta.gov,48756,132556,38091,2.718762819,258.0955164,47233
mx.usembassy.gov,713061,2350208,489087,3.295942423,256.925357,706967
acquisition.gov,127985,308536,57136,2.410720006,256.786475,126462
nyharbor.va.gov,13713,31235,11427,2.277765624,256.6058485,13713
fea.gov,3047,8380,3047,2.750246144,255.7728914,3047
geology.usgs.gov,1524,6856,2285,4.498687664,254.9389764,2285
save.uscis.gov,44947,300156,20569,6.677998532,254.2725877,39615
nces.ed.gov,1423837,7471908,1015503,5.247727092,254.1060009,1431456
gipsa.usda.gov,12951,55613,9142,4.294108563,253.8216354,12951
founders.archives.gov,72373,422809,63231,5.842081992,253.7883741,73135
nepis.epa.gov,164553,1113016,175218,6.763875469,253.318876,177504
mcc.gov,23616,98274,19045,4.161331301,252.4553692,23616
usajobs.gov,21499258,94082967,6096827,4.37610298,252.3667868,21803224
shreveport.va.gov,4571,6856,4571,1.499890615,251.1614526,4571
marketplace.fedramp.gov,5333,12189,5333,2.285580349,251.1299456,6095
evisaforms.state.gov,234640,453282,145507,1.931818957,251.0160842,246829
nass.usda.gov,106654,322249,95227,3.021443171,249.765419,111225
fleet.fas.gsa.gov,3047,20569,1524,6.750574335,248.772235,3047
crimesolutions.gov,43424,125700,31235,2.894712601,248.4188237,43424
search.uscourts.gov,32758,50280,28187,1.53489224,248.0477441,18284
detroit.va.gov,6856,17522,5333,2.55571762,247.7908401,6856
faa.usajobs.gov,68564,275778,41138,4.022198238,245.6207777,70087
dpcld.defense.gov,3809,4571,3809,1.200052507,245.2058283,3809
climatekids.nasa.gov,83800,344342,73896,4.109093079,245.0089499,84562
edna.usgs.gov,1524,3047,762,1.999343832,244.941601,762
www2a.cdc.gov,25902,73135,27425,2.823527141,244.3805112,26664
uspto.gov,1119872,2677028,520322,2.390476769,244.3074976,1080258
columbus.va.gov,1524,4571,2285,2.999343832,243.941601,2285
yali.state.gov,15236,45709,12189,3.000065634,242.5056445,15236
sansalvador.usembassy.gov,1524,6095,1524,3.999343832,242.4422572,1524
gravelocator.cem.va.gov,60945,335962,47995,5.512544097,242.2766593,60184
grace.jpl.nasa.gov,3047,16760,3047,5.500492287,242.0216606,3047
autochoice.fas.gsa.gov,3047,21331,3047,7.000656383,241.5214966,3809
bea.gov,222451,949225,149316,4.2671195,240.5237333,237687
ibwc.state.gov,3047,5333,1524,1.750246144,240.5214966,3047
sealevel.jpl.nasa.gov,9142,17522,8380,1.916648436,240.2451324,8380
humansubjects.nih.gov,3047,6095,2285,2.000328192,240.0213325,3047
nssc.nasa.gov,15236,31235,8380,2.050078761,239.7055658,12189
nps.gov,11527064,39712797,7864244,3.445178842,239.5460341,11469928
apps.gov,1524,2285,1524,1.499343832,239.4429134,1524
ope.ed.gov,135604,783910,104369,5.78087667,239.0497773,143984
eclipse2017.nasa.gov,35044,85324,30473,2.434767721,238.3886828,35044
bulkorder.ftc.gov,12189,113511,9904,9.312576914,238.0016408,12189
tj.usembassy.gov,17522,31235,5333,1.78261614,236.3887113,17522
uk.usembassy.gov,366434,1474117,242258,4.022871786,236.1499015,361102
blackhills.va.gov,11427,26664,3809,2.333420845,234.6720924,11427
autoauctions.gsa.gov,44185,303203,32758,6.862125156,234.5022745,46471
id.usembassy.gov,51042,154649,30473,3.029838172,234.3423063,50280
oceancolor.gsfc.nasa.gov,12189,54851,6095,4.500041021,234.3141357,12189
search.epa.gov,6856,383194,130271,55.89177363,233.6789673,36567
ph.usembassy.gov,131794,320725,84562,2.433532634,232.5788579,131794
fbi.usajobs.gov,2285,9904,3047,4.334354486,232.0459519,1524
grants.nih.gov,335962,1089399,198073,3.242625654,231.537153,337485
sfa.jsc.nasa.gov,1524,8380,1524,5.498687664,230.9448819,762
ni.usembassy.gov,12951,35044,10665,2.705891437,230.880627,13713
healthypeople.gov,253685,881423,175980,3.474478191,230.29457,253685
ut.water.usgs.gov,6856,15236,3047,2.222287048,229.2342474,6095
search.census.gov,4571,6856,3809,1.499890615,229.1618902,3809
osha.gov,3215633,9870111,1793319,3.069414638,229.0693904,3224774
hvo.wr.usgs.gov,2285,9142,2285,4.000875274,229.0455142,2285
glam1n1.gsfc.nasa.gov,4571,16760,762,3.666593743,228.8287027,4571
be.usembassy.gov,11427,39615,9904,3.466789184,228.3386716,12189
ozonewatch.gsfc.nasa.gov,8380,20569,6095,2.454534606,228.0908115,9142
tn.usembassy.gov,7618,32758,6856,4.300078761,227.9053557,7618
ssaiatlanta.usajobs.gov,11427,42662,6856,3.733438348,227.5386366,11427
gmat.gsfc.nasa.gov,1524,2285,1524,1.499343832,227.4455381,1524
visn8.va.gov,2285,6095,2285,2.667396061,227.3785558,2285
jm.usembassy.gov,20569,53327,15236,2.592590792,227.1119646,21331
aphis.usda.gov,359578,1068068,204167,2.970337451,226.6504041,352722
fmcsa.dot.gov,737440,2370777,473851,3.21487443,226.3511065,694778
transit.dot.gov,79229,315393,44185,3.980777241,226.0770551,77705
invasivespeciesinfo.gov,95989,241496,57898,2.51587161,225.7143631,97513
disc.sci.gsfc.nasa.gov,9904,18284,7618,1.846122779,225.5300889,10665
uscis.gov,11811222,29173048,5809622,2.469943245,225.3241127,10596123
sep.va.gov,41900,54851,3809,1.309093079,225.2726014,38853
zh-store.usps.com,9142,48756,5333,5.333187486,225.2453511,9142
regulations.gov,360340,578220,192740,1.604651163,223.9427846,344342
ioos.noaa.gov,6095,15236,3047,2.499753897,223.8582445,6095
fsd.gov,41900,291776,34282,6.963627685,223.6907876,41900
fletc.gov,74658,323773,58660,4.336748908,222.9902087,74658
il.usembassy.gov,78467,271207,47995,3.456319217,222.9715167,76182
bw.usembassy.gov,1524,9142,1524,5.998687664,221.4468504,1524
peacecorps.gov,449472,2097284,310060,4.666106009,221.3646345,448711
spaceradiation.jsc.nasa.gov,3809,6095,3047,1.600157522,221.2050407,3809
ojjdp.gov,48756,198073,39615,4.062535893,221.0640126,48756
alaska.usgs.gov,4571,11427,3809,2.499890615,220.9954058,3809
telework.gov,34282,120367,28949,3.511084534,220.9320343,34282
genelab-dev.ndc.nasa.gov,1524,1524,762,1,220.4475066,762
ihs.gov,367958,1500019,153887,4.076603852,220.0475978,367196
se.usembassy.gov,17522,47233,12189,2.695639767,219.6062664,16760
ntrs.nasa.gov,92180,216356,69325,2.347103493,219.1321002,90656
globalreach.blogs.census.gov,6856,10665,6856,1.555571762,218.6780922,8380
mh.usembassy.gov,1524,6856,2285,4.498687664,218.4475066,1524
ebenefits.va.gov,2588657,4714128,1137394,1.821070926,218.3534145,2265646
ttb.gov,102845,229307,80753,2.229636832,217.4156449,102845
ok.water.usgs.gov,3809,6095,3047,1.600157522,217.4050932,4571
pint.ebenefits.va.gov,8380,12951,9142,1.545465394,217.0908115,3047
wilkes-barre.va.gov,7618,15998,6856,2.100026254,216.8050669,6856
cl.usembassy.gov,56375,137889,40376,2.445924612,216.6873082,55613
centralwesternmass.va.gov,6095,7618,3809,1.249876948,216.4836751,6856
explorers.gsfc.nasa.gov,1524,13713,2285,8.998031496,216.4481627,2285
au.usembassy.gov,63993,163029,47995,2.547606769,216.1775194,61707
search.bea.gov,30473,57898,16760,1.899977029,216.0479441,15236
find.irs.gov,2025673,6323849,1492401,3.121850861,216.0083118,2037101
arset.gsfc.nasa.gov,7618,21331,5333,2.800078761,215.7050407,7618
va.usembassy.gov,7618,14475,6856,1.900105014,215.7050407,7618
texasvalley.va.gov,3809,6856,4571,1.799947493,215.4050932,3809
doleta.gov,140174,362625,115796,2.586963346,215.3648394,144745
nomads.ncdc.noaa.gov,16760,62469,7618,3.727267303,215.1816826,16760
ofmpub.epa.gov,6856,107416,20569,15.66744457,214.9000875,12951
cesdata.bls.gov,73135,296347,37329,4.05205442,214.8110344,73896
ga.water.usgs.gov,6856,22093,5333,3.222432905,214.3445158,6856
za.usembassy.gov,54089,189693,40376,3.50705319,214.2960121,56375
tt.usembassy.gov,19807,56375,11427,2.846215984,213.0797193,18284
