domain,visits,pageviews,users,pageviews_per_session,avg_session_duration,exits
login.uat.usajobs.gov,4571,6095,1524,1.333406257,4,4571
ppae.amedd.army.mil,1524,2285,1524,1.499343832,3.999343832,1524
results.usaid.gov,3047,3047,3047,1,3.500164096,3047
earth.jsc.nasa.gov,1524,2285,1524,1.499343832,3.499343832,1524
trkcnfrm1.smi.usps.com,1524,2285,762,1.499343832,3.499343832,1524
eagnmncom1c2f.usps.com,2285,4571,2285,2.000437637,3.333916849,2285
gams.nist.gov,3047,4571,3047,1.500164096,3.25041024,3047
test.usajobs.gov,12951,14475,12951,1.117674311,3.235271408,12951
cfmedicine.nlm.nih.gov,16760,18284,14475,1.090930788,3.227267303,15998
spdf.gsfc.nasa.gov,4571,5333,1524,1.166703128,3.166703128,3809
muskogee.va.gov,2285,4571,3047,2.000437637,3.000437637,3047
singapore.usembassy.gov,2285,3047,1524,1.333479212,3.000437637,2285
jobview.usajobs.gov,4571,6095,5333,1.333406257,2.833296872,3809
thunderbay.noaa.gov,2285,3809,2285,1.666958425,2.667396061,2285
coastal.er.usgs.gov,5333,6095,5333,1.14288393,2.571348209,5333
collegecost.ed.gov,12189,15998,12951,1.312494872,2.562556403,13713
marsprogram.jpl.nasa.gov,3047,17522,6095,5.750574335,2.500164096,4571
freetown.usembassy.gov,1524,3047,762,1.999343832,2.499343832,1524
la.usembassy.gov,3809,3809,3809,1,2.400105014,3809
eagnmncom1179.usps.com,4571,6856,2285,1.499890615,2.333187486,4571
eagnmncom117c.usps.com,2285,3047,1524,1.333479212,2.000437637,2285
energy.sandia.gov,8380,9142,6095,1.090930788,1.818138425,8380
blmca.sites.usa.gov,5333,5333,5333,1,1.71423214,5333
wcatwc.arh.noaa.gov,12189,12951,10665,1.062515383,1.624989745,12189
medlinet.amedd.army.mil,7618,7618,6095,1,1.5,7618
nrojr.gov,1524,2285,1524,1.499343832,1.499343832,1524
amis.cdfifund.gov,3047,3809,2285,1.250082048,1.250082048,3047
staging.disasterassistance.gov,3809,5333,3809,1.400105014,1.200052507,3809
aid.ndc.nasa.gov,1524,2285,762,1.499343832,1,1524
inventory.data.gov,2285,6095,2285,2.667396061,1,3047
scijinks.gov,16760,17522,15998,1.045465394,0.772732697,16760
it.ojp.gov,4571,4571,4571,1,0.333406257,4571
hallways.cap.gsa.gov,9142,10665,8380,1.166593743,0.249945307,8380
fsaid.ed.gov,3809,3809,3809,1,0.200052507,3047
airs.jpl.nasa.gov,1524,1524,1524,1,0,1524
americanindianhealth.nlm.nih.gov,1524,1524,1524,1,0,1524
amsc.amedd.army.mil,1524,1524,1524,1,0,1524
arabic.syria.usembassy.gov,1524,1524,762,1,0,1524
atlanta.jobcorps.gov,1524,3047,2285,1.999343832,0,3047
brooklyn.jobcorps.gov,1524,1524,1524,1,0,1524
bush41library.tamu.edu,1524,1524,1524,1,0,1524
cincinnati.jobcorps.gov,1524,1524,762,1,0,1524
classic.ntis.gov,1524,1524,1524,1,0,1524
corms.nos.noaa.gov,1524,1524,762,1,0,1524
cryogenics.nist.gov,1524,1524,1524,1,0,1524
cttso.gov,1524,1524,1524,1,0,1524
darrp.noaa.gov,1524,1524,1524,1,0,1524
data.mil,1524,1524,1524,1,0,1524
digitop.nal.usda.gov,1524,1524,1524,1,0,1524
disasterinfo.nlm.nih.gov,1524,1524,1524,1,0,1524
eagnmncom1159.usps.com,1524,1524,1524,1,0,1524
eagnmncom120e.usps.com,1524,1524,1524,1,0,1524
eagnmncom122c.usps.com,1524,1524,1524,1,0,1524
eagnmncom1a0d.usps.com,1524,1524,1524,1,0,1524
eagnmncom1a0f.usps.com,1524,1524,1524,1,0,1524
eagnmncom1bf7.usps.com,1524,1524,1524,1,0,1524
eagnmncom1c2a.usps.com,1524,1524,1524,1,0,1524
eagnmncom1c2c.usps.com,1524,1524,1524,1,0,1524
eddataexpress.ed.gov,1524,8380,3047,5.498687664,0,3047
edgarcompany.sec.gov,1524,1524,1524,1,0,1524
eisenhowermemorial.gov,1524,1524,1524,1,0,1524
eospso.nasa.gov,1524,1524,1524,1,0,1524
fordlibrarymuseum.gov,1524,1524,1524,1,0,1524
fpc.gov,1524,1524,1524,1,0,1524
french.benin.usembassy.gov,1524,1524,1524,1,0,1524
gainesville.jobcorps.gov,1524,1524,1524,1,0,1524
gec.cr.usgs.gov,1524,1524,1524,1,0,1524
geology.er.usgs.gov,1524,1524,762,1,0,1524
ghi.gov,1524,1524,1524,1,0,1524
